channel_id,dow,n,median_views,median_vpd,channel_median,index_vs_channel
UCP9RPj_BG0vit2TNM7LuRxA,Friday,4,1868254.5,5274.594373547255,261306.0,7.15
UCP9RPj_BG0vit2TNM7LuRxA,Saturday,8,502459.0,2359.3449938034705,261306.0,1.92
UCP9RPj_BG0vit2TNM7LuRxA,Monday,4,334078.5,1481.9073638598238,261306.0,1.28
UCPNoCO-IKY1PIQZCUqf4OfA,Tuesday,33,14086.0,26.14574972222802,7919.5,1.78
UCPNoCO-IKY1PIQZCUqf4OfA,Friday,23,12354.0,33.294306767356545,7919.5,1.56
UCPNoCO-IKY1PIQZCUqf4OfA,Saturday,6,7477.0,27.68317317333519,7919.5,0.94
UCPNoCO-IKY1PIQZCUqf4OfA,Thursday,10,6025.5,28.278862662695246,7919.5,0.76
UCPNoCO-IKY1PIQZCUqf4OfA,Monday,13,5881.0,17.602655696870286,7919.5,0.74
UCPNoCO-IKY1PIQZCUqf4OfA,Wednesday,12,5305.0,27.78816755778608,7919.5,0.67
UCRCCAnVyzDTcqNYh0pDcq7Q,Thursday,11,470905.0,741.970658882959,178058.5,2.64
UCRCCAnVyzDTcqNYh0pDcq7Q,Wednesday,87,302562.0,1005.4361966994422,178058.5,1.7
UCRCCAnVyzDTcqNYh0pDcq7Q,Sunday,98,123645.5,459.72073729921044,178058.5,0.69
UCRI6t05DNVlV0XhdI7hx_iw,Thursday,7,61518.0,20.38189800577914,14301.0,4.3
UCRI6t05DNVlV0XhdI7hx_iw,Friday,6,48255.5,33.31202147595171,14301.0,3.37
UCRI6t05DNVlV0XhdI7hx_iw,Tuesday,8,29332.0,17.71872832597554,14301.0,2.05
UCRI6t05DNVlV0XhdI7hx_iw,Saturday,6,22548.5,10.730233157287643,14301.0,1.58
UCRI6t05DNVlV0XhdI7hx_iw,Wednesday,8,10315.0,3.333813349211133,14301.0,0.72
UCRI6t05DNVlV0XhdI7hx_iw,Sunday,16,4662.5,1.511194551419465,14301.0,0.33
UCRI6t05DNVlV0XhdI7hx_iw,Monday,8,3605.5,1.3966345432247373,14301.0,0.25
UCRK5xmIi8kuLUduTE3Ti7lw,Sunday,38,7412.5,155.09706852102272,5671.0,1.31
UCRK5xmIi8kuLUduTE3Ti7lw,Saturday,45,6127.0,118.09446188482069,5671.0,1.08
UCRK5xmIi8kuLUduTE3Ti7lw,Tuesday,50,5741.5,105.99810298068522,5671.0,1.01
UCRK5xmIi8kuLUduTE3Ti7lw,Thursday,54,5669.5,110.73896187927488,5671.0,1.0
UCRK5xmIi8kuLUduTE3Ti7lw,Wednesday,56,5542.5,120.01647626376152,5671.0,0.98
UCRK5xmIi8kuLUduTE3Ti7lw,Monday,49,5435.0,108.26092127113753,5671.0,0.96
UCRK5xmIi8kuLUduTE3Ti7lw,Friday,51,5028.0,101.25805542632297,5671.0,0.89
UCUHW94eEFW7hkUMVaZz4eDg,Thursday,11,1130054.0,1158.7043746038053,606461.0,1.86
UCUHW94eEFW7hkUMVaZz4eDg,Wednesday,14,657236.0,1043.2558068487253,606461.0,1.08
UCUHW94eEFW7hkUMVaZz4eDg,Friday,14,434658.0,938.0259428644135,606461.0,0.72
UCUPrbbdnot-aPgNM65svgOg,Saturday,22,811165.0,1990.8818052964082,598891.0,1.35
UCUPrbbdnot-aPgNM65svgOg,Wednesday,5,215519.0,1326.7459808887593,598891.0,0.36
UCUPrbbdnot-aPgNM65svgOg,Tuesday,4,119671.5,192.8435693977134,598891.0,0.2
UCXLesGEfmyhxqOjoAqhRwhA,Monday,15,566993.0,263.7378704336076,236664.0,2.4
UCXLesGEfmyhxqOjoAqhRwhA,Wednesday,6,434560.5,276.70675481002206,236664.0,1.84
UCXLesGEfmyhxqOjoAqhRwhA,Tuesday,10,206977.5,116.80884781551994,236664.0,0.87
UCXLesGEfmyhxqOjoAqhRwhA,Thursday,5,103465.0,67.89961415813347,236664.0,0.44
UCXLesGEfmyhxqOjoAqhRwhA,Sunday,14,99315.0,66.11775037730239,236664.0,0.42
UCZ4AMrDcNrfy3X6nsU8-rPg,Sunday,35,562018.0,1464.2368558148364,447264.0,1.26
UCZ4AMrDcNrfy3X6nsU8-rPg,Monday,9,534763.0,1607.1403447331766,447264.0,1.2
UCZ4AMrDcNrfy3X6nsU8-rPg,Thursday,7,426923.0,1370.9193641288061,447264.0,0.95
UCZ4AMrDcNrfy3X6nsU8-rPg,Friday,7,416329.0,2701.848318201643,447264.0,0.93
UCZ4AMrDcNrfy3X6nsU8-rPg,Tuesday,11,396837.0,801.8183968528214,447264.0,0.89
UCZ4AMrDcNrfy3X6nsU8-rPg,Saturday,4,243223.5,1130.1833918378707,447264.0,0.54
UCZmKFfiLAag4Cw612favrSg,Monday,4,4200.0,8.775180382038734,2317.0,1.81
UCZmKFfiLAag4Cw612favrSg,Wednesday,25,3504.0,11.26328095366474,2317.0,1.51
UCZmKFfiLAag4Cw612favrSg,Saturday,46,2386.0,9.665759012742733,2317.0,1.03
UCZmKFfiLAag4Cw612favrSg,Tuesday,6,2024.5,5.0196565144433105,2317.0,0.87
UCZmKFfiLAag4Cw612favrSg,Sunday,17,1558.0,8.025773910561885,2317.0,0.67
UCZmKFfiLAag4Cw612favrSg,Thursday,6,1256.0,2.801498779027418,2317.0,0.54
UCZmKFfiLAag4Cw612favrSg,Friday,6,1138.0,2.6312784816056003,2317.0,0.49
UC_4JcFVfzl5f5runRldZgtw,Tuesday,23,99203.0,382.8294396219536,56189.0,1.77
UC_4JcFVfzl5f5runRldZgtw,Monday,22,75346.5,184.1696992445304,56189.0,1.34
UC_4JcFVfzl5f5runRldZgtw,Sunday,18,61127.5,176.1531346850865,56189.0,1.09
UC_4JcFVfzl5f5runRldZgtw,Saturday,23,51640.0,133.47044077235344,56189.0,0.92
UC_4JcFVfzl5f5runRldZgtw,Wednesday,13,45204.0,105.98816520369816,56189.0,0.8
UC_4JcFVfzl5f5runRldZgtw,Thursday,9,44342.0,191.38922201736975,56189.0,0.79
UC_4JcFVfzl5f5runRldZgtw,Friday,14,30330.0,141.01802378945047,56189.0,0.54
UCa3MpL0UCLuc08oj5kIATUg,Thursday,4,87802.0,38.05036900246874,77786.5,1.13
UCcsVDxIsL0pd6YOksxhEoHA,Tuesday,5,89308.0,61.65821676371745,26418.5,3.38
UCcsVDxIsL0pd6YOksxhEoHA,Friday,5,32709.0,20.528932608074815,26418.5,1.24
UCcsVDxIsL0pd6YOksxhEoHA,Sunday,6,30170.5,22.505835151664918,26418.5,1.14
UCcsVDxIsL0pd6YOksxhEoHA,Monday,6,27069.5,25.903809158831177,26418.5,1.02
UCcsVDxIsL0pd6YOksxhEoHA,Saturday,4,14677.5,9.744617971483306,26418.5,0.56
UCcsVDxIsL0pd6YOksxhEoHA,Thursday,4,8139.5,5.206690711536907,26418.5,0.31
UCdL0Zdq18Wrtx5yRLFgiwDA,Sunday,13,3255.0,12.808258382068034,1077.0,3.02
UCdL0Zdq18Wrtx5yRLFgiwDA,Saturday,15,1898.0,9.557398895677268,1077.0,1.76
UCdL0Zdq18Wrtx5yRLFgiwDA,Monday,19,1821.0,10.167536289924385,1077.0,1.69
UCdL0Zdq18Wrtx5yRLFgiwDA,Thursday,31,1081.0,9.189576749083342,1077.0,1.0
UCdL0Zdq18Wrtx5yRLFgiwDA,Friday,27,1055.0,9.570400597762212,1077.0,0.98
UCdL0Zdq18Wrtx5yRLFgiwDA,Wednesday,28,906.0,8.264678221399967,1077.0,0.84
UCdL0Zdq18Wrtx5yRLFgiwDA,Tuesday,29,740.0,6.689666400070373,1077.0,0.69
UCdhl39fG5MNa9NhHE6LDeKA,Friday,6,3022.0,8.174628476703166,1738.5,1.74
UCdhl39fG5MNa9NhHE6LDeKA,Wednesday,8,2660.5,9.261419009412009,1738.5,1.53
UCdhl39fG5MNa9NhHE6LDeKA,Monday,8,1966.0,6.397096588225422,1738.5,1.13
UCdhl39fG5MNa9NhHE6LDeKA,Sunday,9,1751.0,4.61655821929663,1738.5,1.01
UCdhl39fG5MNa9NhHE6LDeKA,Tuesday,9,1726.0,4.57615860476988,1738.5,0.99
UCdhl39fG5MNa9NhHE6LDeKA,Thursday,8,1412.5,4.619275163869252,1738.5,0.81
UCdhl39fG5MNa9NhHE6LDeKA,Saturday,6,840.0,3.166853992140666,1738.5,0.48
UCeLe9gr7c9CsAtFusECY18g,Tuesday,7,207436.0,437.879962837737,53603.0,3.87
UCeLe9gr7c9CsAtFusECY18g,Saturday,10,107985.5,107.91214051314373,53603.0,2.01
UCeLe9gr7c9CsAtFusECY18g,Monday,5,100822.0,121.9617804879901,53603.0,1.88
