channel_id,title,handle,url,bucket,country,subscriber_count,total_views,public_video_count,videos_collected,videos_mature,first_seen,last_upload,days_since_last_upload,uploads_per_week,uploads_per_month,median_views_all_mature,mean_views_all_mature,median_views_last10,median_views_last30,median_vpd,views_per_sub,n_longform,n_shorts,median_views_longform,median_views_shorts,median_duration_sec_longform,pct_outperform_2x,top10pct_view_share,gini_views,median_engagement_rate,likes_hidden_pct
UCcsVDxIsL0pd6YOksxhEoHA,moneytalks_info,@moneytalks_info3664,https://www.youtube.com/@moneytalks_info3664,A,,28300,1481620,46,46,46,2022-03-23,2023-12-17,995,0.51,2.21,26418.5,35050.21875,21789.0,28680.5,20.828891245724847,0.9335,32,14,26418.5,10709.5,290.5,0.188,0.302,0.437,0.0249,0.0
UCw5TLrz3qADabwezTEcOmgQ,Groww,@groww,https://www.youtube.com/@groww,C,IN,2470000,248471365,3285,600,561,2025-05-27,2026-09-06,1,9.01,39.19,22542.0,27133.185430463574,31151.0,25168.0,108.20846136110413,0.0091,151,410,22542.0,30759.0,811.0,0.172,0.263,0.386,0.0338,0.0
UCrNfRFWnLC3tCy1TnyhVQ7g,Casual Finance,@casuallyfinance,https://www.youtube.com/@casuallyfinance,D,US,361000,18009416,186,186,157,2025-07-28,2026-09-06,1,3.21,13.98,339676.5,474305.53846153844,22726.5,23460.5,2020.2696739115104,0.9409,26,131,339676.5,21184.0,608.0,0.192,0.303,0.497,0.0389,0.0
UCE2GdTW2WVCHZnqHF5otvgQ,HealthSketch,@healthsketch,https://www.youtube.com/@healthsketch,W,GB,128000,12789160,44,44,44,2015-05-15,2024-10-29,678,0.09,0.39,182262.0,485260.1304347826,9915.5,22393.5,78.86807367456025,1.4239,23,21,182262.0,14077.0,295.0,0.348,0.52,0.646,0.0117,0.0
UCBIt1VN5j37PVM8LLSuTTlw,Improvement Pill,@improvementpill,https://www.youtube.com/@improvementpill,W,US,3770000,227869210,356,60,59,2023-11-22,2026-08-31,7,0.42,1.8,25457.0,75315.01694915254,17438.5,21496.5,41.051484082645295,0.0068,59,0,25457.0,,488.0,0.085,0.687,0.69,0.0413,0.0
UCa3MpL0UCLuc08oj5kIATUg,theflippist,@theflippist,https://www.youtube.com/@theflippist,W,,995000,466251710,311,60,60,2019-11-12,2026-06-11,88,0.17,0.76,77786.5,73420.25,16985.5,21442.5,33.83965888288945,0.0782,8,52,77786.5,38834.0,216.5,0.0,0.207,0.285,0.0203,0.0
UCL_v4tC26PvOFytV1_eEVSg,Marko - WhiteBoard Finance,@whiteboardfinance,https://www.youtube.com/@whiteboardfinance,W,US,1030000,69726050,425,112,111,2024-09-26,2026-08-17,21,1.14,4.95,24323.0,34801.55913978495,13946.0,20134.5,72.4397595337302,0.0236,93,18,24323.0,5064.0,876.0,0.161,0.342,0.417,0.0476,0.0
UC-RKpEc4eE9PwJaupN91xYQ,Sprouts,@sprouts,https://www.youtube.com/@sprouts,W,US,1940000,171736775,230,60,60,2024-05-13,2026-07-20,49,0.53,2.29,33778.5,88577.64285714286,15048.5,16413.0,75.80957794392872,0.0174,28,32,33778.5,11403.5,272.0,0.214,0.466,0.649,0.0364,0.0
UC5YKivGUTTQmhSuaXbxfZSg,Proactive Thinker,@proactivethinker,https://www.youtube.com/@proactivethinker,W,US,1160000,86582421,868,519,419,2024-09-10,2026-09-07,0,5.0,21.76,12846.5,22511.67105263158,14696.0,15909.0,54.9644753947631,0.0111,304,115,12846.5,19819.0,950.0,0.24,0.413,0.527,0.0345,0.0
UCCMkQlTXghwaB0hohPrEACA,Crésus,@cresusinvestissement,https://www.youtube.com/@cresusinvestissement,F,FR,92900,8349942,188,133,129,2024-09-10,2026-08-30,8,1.29,5.63,10905.0,46597.72093023256,15657.5,15105.5,27.91159392376604,0.1174,129,0,10905.0,,4489.0,0.271,0.67,0.734,0.029,0.0
